sequence,case,region,metric,on,off,on_minus_off
20200813-subject-02/20200813_154103,natural,geometry_focus_proxy,zero_xyz_mm,54.76933222231658,54.76933222231658,0.0
20200813-subject-02/20200813_154408,natural,geometry_focus_proxy,zero_xyz_mm,49.59526205062866,49.59526205062866,0.0
20200813-subject-02/20200813_154729,natural,geometry_focus_proxy,zero_xyz_mm,80.05634752909343,80.05634752909343,0.0
20200813-subject-02/20200813_155021,natural,geometry_focus_proxy,zero_xyz_mm,37.98847860097885,37.98847860097885,0.0
20200813-subject-02/20200813_155314,natural,geometry_focus_proxy,zero_xyz_mm,22.68526149931408,22.68526149931408,0.0
20200813-subject-02/20200813_155633,natural,geometry_focus_proxy,zero_xyz_mm,56.69322785877046,56.69322785877046,0.0
20200709-subject-01/20200709_142123,natural,geometry_focus_proxy,depth_mm,4.007778134196997,4.0039221197366714,0.003856014460325241
20200709-subject-01/20200709_142446,natural,geometry_focus_proxy,depth_mm,19.63330501317978,19.634447813034058,-0.0011427998542785645
20200709-subject-01/20200709_142802,natural,geometry_focus_proxy,depth_mm,13.493125604546588,13.496674185213836,-0.003548580667247947
20200709-subject-01/20200709_143125,natural,geometry_focus_proxy,depth_mm,13.954963997006416,13.953799217939377,0.0011647790670394897
20200709-subject-01/20200709_143531,natural,geometry_focus_proxy,depth_mm,10.79619574546814,10.796456292271614,-0.00026054680347442627
20200709-subject-01/20200709_143907,natural,geometry_focus_proxy,depth_mm,7.718443620772589,7.7193907783145,-0.0009471575419111034
20200709-subject-01/20200709_144313,natural,geometry_focus_proxy,depth_mm,18.681217120243954,18.685721764197716,-0.004504643953762155
20200709-subject-01/20200709_144735,natural,geometry_focus_proxy,depth_mm,6.973205912858248,6.971513086929917,0.0016928259283304214
20200709-subject-01/20200709_145132,natural,geometry_focus_proxy,depth_mm,8.984994089603424,8.980962586402892,0.004031503200531361
20200709-subject-01/20200709_145743,natural,geometry_focus_proxy,depth_mm,16.982073828577995,16.983848199248314,-0.0017743706703186035
20200709-subject-01/20200709_150144,natural,geometry_focus_proxy,depth_mm,15.770316197321964,15.765227831326998,0.005088365994966537
20200709-subject-01/20200709_150524,natural,geometry_focus_proxy,depth_mm,8.412135183811188,8.40708739310503,0.005047790706157684
20200709-subject-01/20200709_150906,natural,geometry_focus_proxy,depth_mm,24.632584126790366,24.632067235310874,0.0005168914794921875
20200709-subject-01/20200709_151246,natural,geometry_focus_proxy,depth_mm,8.20374302069346,8.199679970741272,0.0040630499521885355
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,depth_mm,40.73362549146017,40.751693121592204,-0.018067630132037493
