population,metric,contrast,delta,lower95,upper95,lower99,upper99
initial_bad,add_01,s1_l0_vs_fp,2.1037738052491974,-1.6587699191467078,6.424365723815064,-2.731094783962771,7.697361331825394
initial_bad,adds_005,spatial_with_latent,-0.06551364631405932,-0.30066584925089684,0.1910682825852948,-0.37098121742289786,0.26329736275742865
initial_bad,adds_005,spatial_without_latent,0.4418652384955948,0.026623405265352687,0.8519211814860227,-0.06826185782747388,0.9594805293733168
initial_bad,adds_005,remove_latent_without_spatial,-0.25624092797900744,-0.6131584556011493,0.12251178957642501,-0.7024734769181953,0.2143965785887599
initial_bad,adds_005,remove_latent_with_spatial,0.25113795683064666,-0.0017716940033793082,0.5107315015894278,-0.04954041110678482,0.5644468789091058
initial_bad,adds_005,interaction,0.5073788848096541,0.08758613119344574,0.9018631580698347,-0.0032487828944977033,0.997912112210635
initial_bad,adds_005,s0_l1_vs_residual,0.9760828819035652,-0.10417997892420097,2.0355496294850233,-0.3778876357528401,2.2875751613633457
initial_bad,adds_005,s0_l1_vs_fp,11.591491174032797,6.748473702324941,17.02811318928092,5.100803363942187,18.664606596993355
initial_bad,adds_005,s0_l0_vs_residual,0.7198419539245577,-0.3180767693302279,1.731716358712499,-0.6243590526600914,2.015839335671946
initial_bad,adds_005,s0_l0_vs_fp,11.33525024605379,6.371061810800086,16.930758353740206,4.641161377024582,18.58088250136591
initial_bad,adds_005,s1_l1_vs_residual,0.9105692355895059,-0.27987897765653214,2.1253886103022497,-0.5743525543296512,2.390743743975267
initial_bad,adds_005,s1_l1_vs_fp,11.525977527718737,6.662302383533904,17.03100354454473,5.0035855403186975,18.59291387981417
initial_bad,adds_005,s1_l0_vs_residual,1.1617071924201525,0.016070150320145162,2.2908701975595456,-0.2503663367653558,2.553338922011559
initial_bad,adds_005,s1_l0_vs_fp,11.777115484549384,6.87304186352507,17.283318141613115,5.175018939500887,18.95502813548228
initial_bad,adds_01,spatial_with_latent,-0.15678500488701275,-0.3990052681657055,0.03921926040439342,-0.44754909439532403,0.0764186631184018
initial_bad,adds_01,spatial_without_latent,0.011503411835846578,-0.22770439814474522,0.27411315653963464,-0.2620040528953133,0.3208322291987892
initial_bad,adds_01,remove_latent_without_spatial,-0.20491918060069736,-0.41431946320676366,-0.016277252529865303,-0.4630906448361275,0.013146638837327002
initial_bad,adds_01,remove_latent_with_spatial,-0.036630763877838035,-0.14599581199033623,0.08431738470047598,-0.16796297115502135,0.10598231388770027
initial_bad,adds_01,interaction,0.16828841672285932,-0.07269009165822381,0.36698182110128097,-0.13633892032932174,0.41458535938766294
initial_bad,adds_01,s0_l1_vs_residual,0.8665814602703819,-0.22019028808953853,1.93274871676156,-0.429927852208728,2.20282116108425
initial_bad,adds_01,s0_l1_vs_fp,13.007222914296392,8.09495250631514,18.75063334046526,6.699831383266498,20.342970847154728
initial_bad,adds_01,s0_l0_vs_residual,0.6616622796696845,-0.3627225326456401,1.6642079679751764,-0.571868650755822,1.9260270758601925
initial_bad,adds_01,s0_l0_vs_fp,12.802303733695695,7.843992813112406,18.641046724147053,6.365761800495773,20.238059381195306
initial_bad,adds_01,s1_l1_vs_residual,0.7097964553833691,-0.47409677661857863,1.8778100211179065,-0.7036524917015295,2.1613040541120827
initial_bad,adds_01,s1_l1_vs_fp,12.85043790940938,7.944467395130377,18.59395379613449,6.571281977090182,20.12490855957158
initial_bad,adds_01,s1_l0_vs_residual,0.6731656915055311,-0.5142402627592942,1.8461041112217658,-0.755260842678169,2.125078327747132
initial_bad,adds_01,s1_l0_vs_fp,12.813807145531541,7.921519821081597,18.552277534452355,6.4962855718999,20.12192831595172
