method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
s1_l0,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,3
fp,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,
residual,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,9
s0_l1,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,
s0_l0,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,
s1_l1,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,
s1_l0,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,
fp,20200709-subject-01/20200709_145743/839512060362,10,20200709-subject-01/20200709_145743,27,31,5,True,,True,3
residual,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
s0_l1,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
s0_l0,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
s1_l1,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
s1_l0,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
fp,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,17,21,5,True,,False,3
residual,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
s0_l1,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
s0_l0,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
s1_l1,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
s1_l0,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
fp,20200709-subject-01/20200709_145743/840412060917,10,20200709-subject-01/20200709_145743,41,48,8,True,,False,3
residual,20200709-subject-01/20200709_145743/932122060861,10,20200709-subject-01/20200709_145743,40,49,10,True,,False,3
