population,metric,physical_sequence,object_id,method,frames,sum
all,add_01,20200813-subject-02/20200813_153802,13,residual,576,0.0
all,add_01,20200813-subject-02/20200813_153802,13,s0_l1,576,0.0
all,add_01,20200813-subject-02/20200813_153802,13,s0_l0,576,0.0
all,add_01,20200813-subject-02/20200813_153802,13,s1_l1,576,0.0
all,add_01,20200813-subject-02/20200813_153802,13,s1_l0,576,0.0
all,add_01,20200813-subject-02/20200813_153802,13,fp,576,0.0
all,add_01,20200813-subject-02/20200813_154103,14,residual,592,28200.0
all,add_01,20200813-subject-02/20200813_154103,14,s0_l1,592,28000.0
all,add_01,20200813-subject-02/20200813_154103,14,s0_l0,592,27700.0
all,add_01,20200813-subject-02/20200813_154103,14,s1_l1,592,27500.0
all,add_01,20200813-subject-02/20200813_154103,14,s1_l0,592,27700.0
all,add_01,20200813-subject-02/20200813_154103,14,fp,592,15100.0
all,add_01,20200813-subject-02/20200813_154408,15,residual,544,47500.0
all,add_01,20200813-subject-02/20200813_154408,15,s0_l1,544,47600.0
all,add_01,20200813-subject-02/20200813_154408,15,s0_l0,544,47500.0
all,add_01,20200813-subject-02/20200813_154408,15,s1_l1,544,47300.0
all,add_01,20200813-subject-02/20200813_154408,15,s1_l0,544,47300.0
all,add_01,20200813-subject-02/20200813_154408,15,fp,544,39500.0
all,add_01,20200813-subject-02/20200813_154729,16,residual,576,0.0
all,add_01,20200813-subject-02/20200813_154729,16,s0_l1,576,0.0
all,add_01,20200813-subject-02/20200813_154729,16,s0_l0,576,0.0
all,add_01,20200813-subject-02/20200813_154729,16,s1_l1,576,0.0
all,add_01,20200813-subject-02/20200813_154729,16,s1_l0,576,0.0
all,add_01,20200813-subject-02/20200813_154729,16,fp,576,0.0
all,add_01,20200813-subject-02/20200813_155021,17,residual,576,13300.0
all,add_01,20200813-subject-02/20200813_155021,17,s0_l1,576,10800.0
all,add_01,20200813-subject-02/20200813_155021,17,s0_l0,576,10500.0
all,add_01,20200813-subject-02/20200813_155021,17,s1_l1,576,11100.0
all,add_01,20200813-subject-02/20200813_155021,17,s1_l0,576,11300.0
all,add_01,20200813-subject-02/20200813_155021,17,fp,576,8700.0
all,add_01,20200813-subject-02/20200813_155314,18,residual,592,17000.0
all,add_01,20200813-subject-02/20200813_155314,18,s0_l1,592,16600.0
all,add_01,20200813-subject-02/20200813_155314,18,s0_l0,592,17900.0
all,add_01,20200813-subject-02/20200813_155314,18,s1_l1,592,17800.0
all,add_01,20200813-subject-02/20200813_155314,18,s1_l0,592,17600.0
all,add_01,20200813-subject-02/20200813_155314,18,fp,592,6000.0
all,add_01,20200813-subject-02/20200813_155633,20,residual,576,12000.0
all,add_01,20200813-subject-02/20200813_155633,20,s0_l1,576,12000.0
all,add_01,20200813-subject-02/20200813_155633,20,s0_l0,576,11900.0
all,add_01,20200813-subject-02/20200813_155633,20,s1_l1,576,12000.0
all,add_01,20200813-subject-02/20200813_155633,20,s1_l0,576,12100.0
all,add_01,20200813-subject-02/20200813_155633,20,fp,576,15100.0
all,add_01,20200813-subject-02/20200813_155953,21,residual,592,12900.0
all,add_01,20200813-subject-02/20200813_155953,21,s0_l1,592,12800.0
all,add_01,20200813-subject-02/20200813_155953,21,s0_l0,592,12700.0
all,add_01,20200813-subject-02/20200813_155953,21,s1_l1,592,12800.0
all,add_01,20200813-subject-02/20200813_155953,21,s1_l0,592,12600.0
all,add_01,20200813-subject-02/20200813_155953,21,fp,592,4500.0
all,adds_005,20200709-subject-01/20200709_142123,1,residual,592,58800.0
all,adds_005,20200709-subject-01/20200709_142123,1,s0_l1,592,58800.0
all,adds_005,20200709-subject-01/20200709_142123,1,s0_l0,592,58800.0
all,adds_005,20200709-subject-01/20200709_142123,1,s1_l1,592,58800.0
all,adds_005,20200709-subject-01/20200709_142123,1,s1_l0,592,58800.0
all,adds_005,20200709-subject-01/20200709_142123,1,fp,592,58000.0
all,adds_005,20200709-subject-01/20200709_142446,2,residual,576,50100.0
all,adds_005,20200709-subject-01/20200709_142446,2,s0_l1,576,50000.0
all,adds_005,20200709-subject-01/20200709_142446,2,s0_l0,576,50000.0
all,adds_005,20200709-subject-01/20200709_142446,2,s1_l1,576,50000.0
all,adds_005,20200709-subject-01/20200709_142446,2,s1_l0,576,50000.0
all,adds_005,20200709-subject-01/20200709_142446,2,fp,576,50100.0
all,adds_005,20200709-subject-01/20200709_142802,3,residual,576,47900.0
all,adds_005,20200709-subject-01/20200709_142802,3,s0_l1,576,47900.0
all,adds_005,20200709-subject-01/20200709_142802,3,s0_l0,576,48200.0
all,adds_005,20200709-subject-01/20200709_142802,3,s1_l1,576,48200.0
all,adds_005,20200709-subject-01/20200709_142802,3,s1_l0,576,48200.0
all,adds_005,20200709-subject-01/20200709_142802,3,fp,576,47600.0
all,adds_005,20200709-subject-01/20200709_143125,4,residual,576,57100.0
all,adds_005,20200709-subject-01/20200709_143125,4,s0_l1,576,57200.0
all,adds_005,20200709-subject-01/20200709_143125,4,s0_l0,576,57200.0
all,adds_005,20200709-subject-01/20200709_143125,4,s1_l1,576,57200.0
all,adds_005,20200709-subject-01/20200709_143125,4,s1_l0,576,57200.0
all,adds_005,20200709-subject-01/20200709_143125,4,fp,576,51400.0
all,adds_005,20200709-subject-01/20200709_143531,5,residual,592,48000.0
all,adds_005,20200709-subject-01/20200709_143531,5,s0_l1,592,46500.0
all,adds_005,20200709-subject-01/20200709_143531,5,s0_l0,592,45200.0
all,adds_005,20200709-subject-01/20200709_143531,5,s1_l1,592,46400.0
all,adds_005,20200709-subject-01/20200709_143531,5,s1_l0,592,46500.0
all,adds_005,20200709-subject-01/20200709_143531,5,fp,592,52800.0
all,adds_005,20200709-subject-01/20200709_143907,6,residual,576,47200.0
all,adds_005,20200709-subject-01/20200709_143907,6,s0_l1,576,46700.0
